repository,RQ1_1,RQ1_2,RQ1_3,RQ1_4,RQ2_1,RQ2_2,RQ2_3,RQ2_4,RQ3_1
extras,18,12,2,430,2030,0,467,0.038461538461538464,0
NEON-IS-data-processing,598,65,704,1486,719,0,1797,0.2844909609895338,33
