repository,RQ1_1,RQ1_2,RQ1_3,RQ1_4,RQ2_1,RQ2_2,RQ2_3,RQ2_4,RQ3_1
pach_clearml,6,0,1,13,49,0,2251,0.75,0
ruby-pachyderm,41,0,5,36,13,0,1271,0.82,2
e2e-ml-on-k8s,1,0,16,406,0,0,1813,0.5,0
generalfusion-pachyderm,8,0,3,23,61,0,880,0.47058823529411764,1
pachyderm,8,0,3,5,0,0,1621,0.7272727272727273,0
examples,75,18,40,168,350,0,2140,0.7731958762886598,13
label-studio-pach,12,1,1,14,63,0,2215,0.8571428571428571,2
LC-MS-Pachyderm,22,2,22,30,217,0,1159,0.7333333333333333,1
pachyderm-mleap-demo,22,3,3,24,110,0,810,0.7333333333333333,1
yellow-pachyderm,26,0,2,14,53,0,1343,0.896551724137931,4
